District,Season,CropCategory,Crop,Year,Extent,Production
Ampara,Maha,Minor Export,Arecanut,2001,31.0,103.0
Ampara,Maha,Minor Export,Arecanut,2002,116.0,83.0
Ampara,Maha,Minor Export,Arecanut,2003,33.0,154.0
Ampara,Maha,Minor Export,Arecanut,2004,128.0,240.0
Ampara,Maha,Minor Export,Arecanut,2005,460.0,358.0
Ampara,Maha,Minor Export,Arecanut,2006,368.0,166.0
Ampara,Maha,Minor Export,Arecanut,2007,207.7,183.9
Ampara,Maha,Minor Export,Arecanut,2008,181.3,177.0
Ampara,Yala,Minor Export,Arecanut,2001,53.0,40.0
Ampara,Yala,Minor Export,Arecanut,2002,103.0,21.0
Ampara,Yala,Minor Export,Arecanut,2003,100.0,36.0
Ampara,Yala,Minor Export,Arecanut,2004,160.0,181.0
Ampara,Yala,Minor Export,Arecanut,2005,305.0,138.0
Ampara,Yala,Minor Export,Arecanut,2006,178.0,476.0
Ampara,Yala,Minor Export,Arecanut,2007,169.2,491.0
Ampara,Yala,Minor Export,Arecanut,2008,142.2,242.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2001,774.0,5809.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2002,768.0,5780.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2003,527.0,3911.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2004,625.0,4760.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2005,518.0,3955.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2006,374.0,2738.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2007,395.0,3348.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2008,390.0,3413.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2009,381.0,3628.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2010,206.0,3722.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2011,175.0,1918.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2012,163.0,2477.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2013,171.0,2601.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2014,188.0,2861.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2015,110.0,1454.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2016,111.0,1491.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2017,76.0,1001.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2018,135.0,1905.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2019,144.0,4155.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2020,144.0,4215.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2021,149.2,4243.3
Ampara,Maha,Low Country Vegetable,Ash Plantain,2022,138.6,3731.9
Ampara,Maha,Low Country Vegetable,Ash Plantain,2023,407.6,3827.0
Ampara,Maha,Low Country Vegetable,Ash Plantain,2024,152.8,4093.1
Ampara,Maha,Low Country Vegetable,Ash Plantain,2025,154.8,1676.4
Ampara,Yala,Low Country Vegetable,Ash Plantain,2001,251.0,2278.0
